NettingSetId,NettingName,NettingType,CounterpartyId,Collateral,MTA,InputCurrency
278_A_VM CSA Eng,VM CSA Eng,Margined,cpty33,110000,100000,USD
2785_A_VM CSA Eng,CSA,Margined,cpty34,0,100000,USD
2791_B_VM CSA Eng,CSA,Margined,cpty35,0,100000,USD
2792_A_VM CSA Eng,CSA,Margined,cpty36,11852723,1000000,USD
2797_A_VM CSA NY,VM CSA NY,Margined,cpty37,160000,50000,USD
280_C_IM CSD Eng,VM CSA Eng,Margined,cpty38,60000,50000,USD
280_D_VM CSA Eng,VM CSA Eng,Unmargined,cpty39,770000,250000,USD
2802_A_Unmargined,CSA,Margined,cpty40,18560349,250000,USD
281_A_VM CSA Eng,VM CSA Eng,Margined,cpty41,-18167054,100000,USD
282_D_VM CSA Eng,VM CSA NY,Margined,cpty42,50000,15000,USD
2821_A_Unmargined,VM CSA NY,Margined,cpty43,110000,10000,USD
283_B_VM CSA Eng,VM CSA NY,Margined,cpty44,40000,10000,USD
285_B_VM CSA Eng,VM CSA NY,Margined,cpty45,-310000,250000,USD
2874_A_Unmargined,VM CSA NY,Margined,cpty46,970000,50000,USD
288_C_IM CSD Eng,VM CSA Eng,Margined,cpty47,760000,200000,USD
288_D_VM CSA Eng,VM CSA NY,Margined,cpty48,-1280000,250000,USD
289_A_VM CSA Eng,VM CSA NY,Margined,cpty49,-1400000,250000,USD
2893_A_Unmargined,VM CSA NY,Margined,cpty50,-1920000,250000,USD
2895_C_CSA,VM CSA NY,Margined,cpty51,-1030000,250000,USD
2895_B_VM CSA Eng,VM CSA Eng,Margined,cpty52,30000,250000,USD
2949_A_Unmargined,VM CSA Eng,Margined,cpty53,40000,10000,USD
2974_C_VM CSA Eng,VM CSA NY,Margined,cpty54,-1101000,250000,USD
2974_D_CSA,VM CSA NY,Margined,cpty55,-10000,10000,USD
2991_A_Unmargined,VM CSA NY,Margined,cpty56,10000,10000,USD
30_B_VM CSA Eng,VM CSA Eng,Margined,cpty57,2282054,10000,EUR
3027_B_IM CSD Eng,CSA,Margined,cpty58,-13750000,500000,USD
3083_B_VM CSA NY,VM CSA Eng,Margined,cpty59,1464602,250000,EUR
3089_A_CSA,VM CSA NY,Margined,cpty60,80000,25000,USD
3210_A_Unmargined,VM CSA NY_2,Margined,cpty61,-224360,25000,USD
322_B_VM CSA Eng,VM CSA Eng,Margined,cpty62,105337,1200000,ZAR
3318_B_VM CSA NY,VM CSA NY,Margined,cpty63,60000,50000,USD
3384_A_VM CSA Eng,VM CSA Eng,Margined,cpty64,2260000,400000,USD
3407_A_Unmargined,VM CSA Eng,Margined,cpty65,-520000,250000,USD
3409_A_CSA,CSA,Margined,cpty66,32227772,100000,USD
3426_A_Unmargined,CSA,Margined,cpty67,438301,100000,USD
3444_A_CSA,VM CSA Eng,Margined,cpty68,1570000,100000,USD
3463_A_Unmargined,VM CSA Eng,Margined,cpty69,-7900000,250000,USD
348_A_Unmargined,VM CSA NY,Margined,cpty70,-29915,50000,USD
353_D_VM CSA Eng,CSA,Margined,cpty71,341086,100000,USD
353_C_IM CSD Eng,VM CSA Eng,Margined,cpty72,1420000,100000,USD
3619_A_Unmargined,VM CSA NY,Margined,cpty73,-460000,50000,USD
362_A_Unmargined,VM CSA Eng,Margined,cpty74,465494,50000,EUR
372_A_Unmargined,VM CSA Eng,Margined,cpty75,2990000,250000,USD
377_A_VM CSA Eng,CSA,Margined,cpty76,-2740339,1000000,USD
3856_A_Unmargined,CSA,Margined,cpty77,-21940585,500000,USD
3976_A_Unmargined,CSA,Margined,cpty78,20563075,400000,USD
399_A_VM CSA Eng,VM CSA NY,Margined,cpty79,797628,400000,USD
4028_A_Unmargined,VM CSA Eng,Margined,cpty1,-601000,100000,USD
4091_A_Unmargined,VM CSA NY,Margined,cpty2,-6003994,250000,USD
4117_A_VM CSA NY,VM CSA NY,Margined,cpty3,-843666,250000,USD
414_B_VM CSA Eng,VM CSA NY,Margined,cpty4,3300343,250000,USD
4218_B_VM CSA NY,VM CSA NY,Margined,cpty5,1489312,500000,USD
4239_A_Unmargined,VM CSA NY,Margined,cpty6,54759970,500000,USD
4243_A_Unmargined,CSA,Margined,cpty7,0,3000000,USD
428_A_VM CSA Eng,VM CSA NY,Margined,cpty8,3088899,250000,USD
442_A_Unmargined,VM CSA NY,Margined,cpty9,0,250000,USD
4439_A_Unmargined,VM CSA NY,Margined,cpty10,8354904,500000,USD
4472_A_Unmargined,CSA,Margined,cpty11,662264,3000000,USD
4477_A_Unmargined,CSA,Margined,cpty12,6187,200000,USD
4494_A_Unmargined,VM CSA NY,Margined,cpty13,-272204,250000,USD
4646_A_Unmargined,VM CSA NY,Margined,cpty14,2141385,400000,USD
4727_A_Unmargined,VM CSA NY,Margined,cpty15,69304919,250000,USD
4757_A_VM CSA NY,VM CSA NY,Margined,cpty16,408857,250000,USD
478_B_VM CSA Eng,VM CSA NY,Margined,cpty17,10189775,250000,USD
4875_A_VM CSA NY,CSA,Margined,cpty18,628933,100000,USD
4906_A_Unmargined,VM CSA NY,Margined,cpty19,-64022333,250000,USD
495_A_IM CSA NY,CSA,Margined,cpty20,1689994,500000,USD
496_A_CSA,VM CSA NY,Margined,cpty21,-43542409,400000,USD
497_C_VM CSA Eng,VM CSA NY,Margined,cpty22,2926159,500000,USD
497_B_IM CSD Eng,CSA,Margined,cpty23,-29950000,500000,USD
498_B_VM CSA Eng,CSA,Margined,cpty24,0,100000,USD
5_B_VM CSA Eng,VM CSA NY,Margined,cpty25,268976,250000,USD
502_C_IM CSD Eng,CSA,Margined,cpty26,34080172,500000,USD
502_D_VM CSA Eng,VM CSA NY,Margined,cpty27,4972384,500000,USD
511_A_VM CSA Eng,VM CSA NY,Margined,cpty28,1153381,500000,USD
516_C_VM CSA NY,VM CSA NY,Margined,cpty29,-562408,500000,USD
518_A_Unmargined,VM CSA NY,Margined,cpty30,-5868877,250000,USD
520_A_VM CSA Eng,VM CSA NY,Margined,cpty31,11798357,400000,USD
5228_A_Unmargined,VM CSA NY,Margined,cpty32,625484,500000,USD
525_D_VM CSA Eng,VM CSA NY,Margined,cpty33,2161315,500000,USD
526_C_VM CSA Eng,VM CSA Eng,Margined,cpty34,-9928007,200000,CHF
5271_A_VM CSA Eng,VM CSA Eng_2,Margined,cpty35,-2330000,400000,USD
5289_A_VM CSA Eng,VM CSA NY,Margined,cpty36,7449030,500000,USD
530_D_VM CSA Eng,CSA,Margined,cpty37,3339048,250000,USD
533_B_VM CSA Eng,CSA,Margined,cpty38,0,50000,USD
535_C_IM CSD Eng,VM CSA NY,Margined,cpty39,15351157,400000,USD
537_A_VM CSA NY,VM CSA NY,Margined,cpty40,1365974,250000,USD
539_B_VM CSA Eng_2,VM CSA NY,Margined,cpty41,-16370000,200000,USD
542_A_VM CSA NY,VM CSA NY,Margined,cpty42,-5432265,250000,USD
544_C_VM CSA Eng,VM CSA NY,Margined,cpty43,-87079451,100000,USD
545_B_VM CSA NY,VM CSA NY,Margined,cpty44,-6414163,250000,USD
5453_A_Unmargined,CSA,Margined,cpty45,-4490162,1000000,USD
5472_A_Unmargined,VM CSA Eng,Margined,cpty46,13220000,100000,USD
550_C_VM CSA Eng,VM CSA NY,Margined,cpty47,-9040000,250000,USD
551_B_VM CSA Eng,CSA,Margined,cpty48,-3793659,250000,USD
553_F_IM CSD Eng,VM CSA NY,Margined,cpty49,-22110000,250000,USD
553_G_VM CSA Eng,VM CSA NY,Margined,cpty50,870000,0,USD
554_C_VM CSA Eng,VM CSA NY,Margined,cpty51,-2820000,100000,USD
555_B_CSA,CSA,Margined,cpty52,30060000,250000,USD
555_C_VM CSA Eng,VM CSA NY,Margined,cpty53,570000,0,USD
557_C_IM CSD Eng,VM CSA Eng,Margined,cpty54,-5480000,250000,USD
557_D_VM CSA Eng,CSA,Margined,cpty55,-359844431,1000000,USD
558_A_VM CSA Eng,CSA,Margined,cpty56,-2700000,1000000,USD
559_C_VM CSA Eng,CSA,Margined,cpty57,3700000,500000,USD
56_A_VM CSA Eng,VM CSA NY,Margined,cpty58,-29024599,300000,USD
560_A_VM CSA Eng,VM CSA NY,Margined,cpty59,-5179203,250000,USD
562_B_VM CSA Eng,VM CSA NY,Margined,cpty60,-19383202,200000,USD
568_A_Unmargined,CSA,Margined,cpty61,2910000,500000,USD
569_A_Unmargined,CSA_2,Margined,cpty62,-827325,500000,USD
578_B_CSA,VM CSA NY,Margined,cpty63,-8880000,0,USD
578_D_CSA,CSA,Margined,cpty64,-1510000,100000,USD
5808_A_VM CSA NY,CSA_2,Margined,cpty65,14908207,100000,USD
5834_A_Unmargined,VM CSA NY,Margined,cpty66,-28190000,0,USD
584_D_VM CSA Eng,CSA,Margined,cpty67,1220000,1000000,USD
5842_A_CSA,CSA,Margined,cpty68,2000000,30000,USD
585_D_VM CSA Eng,CSA,Margined,cpty69,11180000,1000000,USD
585_C_IM CSD Eng,VM CSA NY,Margined,cpty70,-12980000,250000,USD
588_B_VM CSA Eng,VM CSA NY,Margined,cpty71,-4229957,250000,USD
589_D_VM CSA Eng,VM CSA NY,Margined,cpty72,-2710000,250000,USD
589_C_IM CSD Eng,VM CSA NY,Margined,cpty73,-9989288,250000,USD
590_B_VM CSA Eng,VM CSA NY,Margined,cpty74,70840000,100000,USD
597_A_Unmargined,CSA,Margined,cpty75,4532980,500000,USD
599_B_VM CSA Eng,VM CSA Eng,Margined,cpty76,-310000,25000,USD
6_D_VM CSA Eng,VM CSA Eng,Margined,cpty77,-34061,25000,EUR
6_C_IM CSD Eng,VM CSA NY,Margined,cpty78,-10000,20000,USD
605_H_CSA,CSA,Margined,cpty79,535321783,1000000,USD
605_G_CSA,CSA,Margined,cpty1,-96847145,1000000,USD
605_D_VM CSA Eng_2,VM CSA NY,Margined,cpty2,-46390000,0,USD
606_C_IM CSD Eng,VM CSA Eng,Margined,cpty3,1158057,250000,EUR
606_D_VM CSA Eng,VM CSA NY,Margined,cpty4,2321599,250000,USD
6063_A_CSA,VM CSA NY,Margined,cpty5,330949,250000,USD
61_A_CSA,VM CSA NY,Margined,cpty6,1296053,250000,USD
612_B_VM CSA Eng,VM CSA NY,Margined,cpty7,2382000,250000,USD
613_C_VM CSA Eng,CSA,Margined,cpty8,547383,250000,USD
617_D_VM CSA Eng,VM CSA NY,Margined,cpty9,420000,250000,USD
618_B_IM CSD Eng,VM CSA Eng,Margined,cpty10,80000,25000,USD
6192_A_VM CSA NY,VM CSA Eng,Margined,cpty11,65782179,0,EUR
620_D_VM CSA Eng,VM CSA Eng,Margined,cpty12,10000,50000,USD
620_C_IM CSD Eng,VM CSA Eng,Margined,cpty13,40000,25000,USD
6210_A_CSA,VM CSA NY,Margined,cpty14,70000,50000,USD
6212_A_Unmargined,VM CSA NY,Margined,cpty15,-50000,50000,USD
622_A_Unmargined,VM CSA Eng,Margined,cpty16,692564,250000,EUR
6220_B_CSA_INT_FX,VM CSA NY,Margined,cpty17,170000,50000,USD
6248_A_Unmargined,VM CSA Eng,Margined,cpty18,-476847,25000,EUR
625_B_VM CSA Eng,VM CSA NY,Margined,cpty19,160000,150000,USD
628_B_VM CSA Eng,VM CSA NY,Margined,cpty20,-30352,50000,USD
6280_B_VM CSA Eng,VM CSA NY,Margined,cpty21,-2420000,250000,USD
639_B_VM CSA Eng,VM CSA Eng,Margined,cpty22,-1890000,250000,USD
646_B_VM CSA Eng,VM CSA NY,Margined,cpty23,310000,250000,USD
648_D_VM CSA Eng,VM CSA NY,Margined,cpty24,-101198,50000,USD
649_C_VM CSA Eng,No Calls,Margined,cpty25,810000,250000,USD
6497_A_VM CSA Eng,VM CSA Eng,Margined,cpty26,440000,100000,USD
650_B_VM CSA Eng,VM CSA NY,Margined,cpty27,980554,50000,USD
6551_A_Unmargined,VM CSA Eng,Margined,cpty28,-10000,250000,USD
671_A_VM CSA Eng,VM CSA Eng,Margined,cpty29,21230814,100000,USD
6712_A_Unmargined,VM CSA NY,Margined,cpty30,60000,50000,USD
70_A_CSA_INT_FX,VM CSA NY,Margined,cpty31,264000,250000,USD
705_A_Unmargined,VM CSA Eng,Margined,cpty32,-3190000,250000,USD
7055_A_Unmargined,VM CSA Eng,Margined,cpty33,-6330712,100000,EUR
7057_A_Unmargined,VM CSA Eng,Margined,cpty34,4680000,250000,USD
7080_A_CSA,VM CSA NY,Margined,cpty35,270000,250000,USD
711_A_Unmargined,VM CSA NY,Margined,cpty36,-3950000,250000,USD
7208_A_VM CSA Eng,VM CSA NY,Margined,cpty37,-20000,250000,USD
740_A_VM CSA Eng,CSA,Margined,cpty38,-20000,250000,USD
746_A_Unmargined,VM CSA Eng,Margined,cpty39,740000,100000,USD
757_A_Unmargined,VM CSA NY,Margined,cpty40,-510000,250000,USD
765_A_Unmargined,CSA,Margined,cpty41,6470000,500000,USD
772_G_IM CSA NY,VM CSA Eng,Margined,cpty42,1000000,250000,USD
772_H_VM CSA Eng,VM CSA Eng,Margined,cpty43,-374666,50000,EUR
7731_A_IM CSD Eng,VM CSA Eng,Margined,cpty44,8210000,250000,USD
7731_B_VM CSA Eng,VM CSA NY,Margined,cpty45,231754,50000,USD
774_B_CSA,VM CSA NY,Margined,cpty46,-9170000,500000,USD
78_A_Unmargined,CSA,Margined,cpty47,-376432,250000,USD
781_A_VM CSA NY,VM CSA Eng,Margined,cpty48,190000,250000,USD
791_A_Unmargined,VM CSA NY,Margined,cpty49,278704,250000,CAD
793_A_Unmargined,VM CSA Eng,Margined,cpty50,15994330,250000,USD
795_C_IM CSA NY,VM CSA NY,Margined,cpty51,360000,250000,USD
800_A_VM CSA Eng,VM CSA Eng,Margined,cpty52,-664471,40000,EUR
801_C_VM CSA NY,CSA,Margined,cpty53,1070000,1000000,USD
819_A_Unmargined,VM CSA Eng,Margined,cpty54,-340000,250000,USD
823_A_VM CSA Eng,VM CSA Eng,Margined,cpty55,4730000,100000,USD
832_B_IM CSD Eng,VM CSA Eng,Margined,cpty56,-270213,250000,USD
832_C_VM CSA Eng,VM CSA Eng,Margined,cpty57,930987,500000,EUR
8330_A_VM CSA Eng,VM CSA Eng,Margined,cpty58,3840000,250000,USD
852_A_VM CSA NY,VM CSA NY,Margined,cpty59,-540000,100000,USD
8521_A_Unmargined,VM CSA Eng,Margined,cpty60,65285,0,GBP
8572_A_Unmargined,VM CSA Eng,Margined,cpty61,3800000,250000,USD
8572_B_CSA_INT_FX,VM CSA Eng,Margined,cpty62,1556477,25000000,JPY
858_B_VM CSA NY,VM CSA Eng,Margined,cpty63,210000,50000,USD
859_A_Unmargined,VM CSA Eng,Margined,cpty64,123752,50000,EUR
861_C_VM CSA Eng,No Calls,Margined,cpty65,0,250000,USD
867_A_Unmargined,CSA,Margined,cpty66,2100398,0,EUR
8766_A_Unmargined,CSA,Margined,cpty67,16057000,250000,USD
900_B_VM CSA Eng,VM CSA Eng,Margined,cpty68,-4095319,250000,GBP
9084_A_Unmargined,VM CSA Eng,Margined,cpty69,-8567736,250000,GBP
9162_C_VM CSA Eng,VM CSA Eng,Margined,cpty70,260000,250000,USD
9162_B_IM CSD Eng,VM CSA Eng,Margined,cpty71,295191,250000,EUR
95_B_CSA,VM CSA Eng,Margined,cpty72,1005389,250000,GBP
954_B_VM CSA Eng,VM CSA Eng,Margined,cpty73,1906322,250000,GBP
9543_C_VM CSA Eng,VM CSA Eng,Margined,cpty74,-248083,100000,GBP
9543_A_Unmargined,VM CSA NY,Margined,cpty75,290000,250000,USD
9543_D_VM CSA Eng,VM CSA Eng,Margined,cpty76,-580000,250000,USD
9625_A_VM CSA Eng,VM CSA Eng,Margined,cpty77,1447084,5000000,JPY
9645_A_CSA,VM CSA Eng,Margined,cpty78,-56440000,250000,USD
1_C_VM CSA Eng,VM CSA Eng,Margined,cpty79,0,100000,USD
10_A_Unmargined,VM CSA Eng,Margined,cpty13,1920000,250000,USD
10019_A_Unmargined,VM CSA NY,Margined,cpty14,-1100000,250000,USD
1026_A_Unmargined,VM CSA Eng,Margined,cpty15,-380000,250000,USD
10360_A_Unmargined,VM CSA Eng,Margined,cpty16,31000,50000,USD
1043_A_Unmargined,VM CSA Eng,Margined,cpty17,22707,0,EUR
1061_A_Unmargined,VM CSA Eng,Margined,cpty18,10000,0,USD
10633_A_Unmargined,VM CSA Eng,Margined,cpty19,-1010000,250000,USD
1073_A_Unmargined,VM CSA NY,Margined,cpty20,156350,250000,USD
1077_B_VM CSA Eng,VM CSA Eng,Margined,cpty21,102182,400000,EUR
1079_C_VM CSA NY,VM CSA Eng,Margined,cpty22,4410000,250000,USD
1087_A_Unmargined,VM CSA Eng,Margined,cpty23,476847,400000,EUR
10895_A_VM CSA Eng,VM CSA Eng,Margined,cpty24,-624443,400000,EUR
10911_C_CSA,CSA,Margined,cpty25,-50000,250000,USD
10913_B_CSA,VM CSA Eng,Margined,cpty26,3865979,250000,USD
10915_A_Unmargined,VM CSA Eng,Margined,cpty27,0,100000,USD
1093_A_Unmargined,VM CSA NY,Margined,cpty28,310000,250000,USD
1095_B_CSA,VM CSA Eng,Margined,cpty29,-1770000,250000,USD
1096_D_VM CSA Eng,VM CSA NY,Margined,cpty30,360000,250000,USD
1096_C_IM CSD Eng,VM CSA Eng,Margined,cpty31,-11354,0,EUR
1096_M_VM CSA NY,VM CSA Eng,Margined,cpty32,180000,0,USD
10966_A_Unmargined,CSA,Margined,cpty33,-21466622,100000,USD
1099_B_VM CSA NY,VM CSA Eng,Margined,cpty34,102182,250000,EUR
1101_C_VM CSA Eng,VM CSA NY,Margined,cpty35,95615,50000,USD
1102_A_CSA,VM CSA NY,Margined,cpty36,198384,50000,USD
11024_A_Unmargined,VM CSA NY,Margined,cpty37,100000,50000,USD
11030_A_Unmargined,VM CSA NY,Margined,cpty38,59630,50000,USD
11032_A_Unmargined,VM CSA NY,Margined,cpty39,290000,250000,USD
1104_A_CSA,CSA,Margined,cpty40,2631298,100000,USD
1105_A_VM CSA Eng,CSA,Margined,cpty41,-600000,500000,USD
1108_C_VM CSA NY,VM CSA NY,Margined,cpty42,-290000,20000,USD
1108_B_IM CSA NY,VM CSA NY_2,Margined,cpty43,-47864,50000,USD
1108_D_VM CSA NY,VM CSA Eng,Margined,cpty44,-15285846,100000,USD
1109_A_CSA,VM CSA Eng,Margined,cpty45,6080000,250000,USD
11101_B_VM CSA Eng,VM CSA Eng,Margined,cpty46,124889,250000,EUR
1122_A_CSA,VM CSA Eng,Margined,cpty47,-1109845,150000,GBP
11299_C_CSM,VM CSA NY,Margined,cpty48,237401,250000,USD
1133_A_Unmargined,VM CSA Eng,Margined,cpty49,14810000,200000,USD
11340_A_CSA_INT_FX,CSA,Margined,cpty50,10700000,250000,USD
11552_A_Unmargined,CSA,Margined,cpty51,-10700000,250000,USD
11571_A_Unmargined,VM CSA Eng,Margined,cpty52,390000,250000,USD
11593_A_VM CSA Eng,VM CSA NY,Margined,cpty53,-329860,250000,USD
1167_A_Unmargined,VM CSA Eng,Margined,cpty54,-1260000,250000,USD
11936_B_VM CSA Eng,VM CSA Eng,Margined,cpty55,5960000,400000,USD
11990_A_Unmargined,VM CSA Eng,Margined,cpty56,152000,50000,USD
12072_A_VM CSA Eng,CSA,Margined,cpty57,-300000,283775,USD
1226_A_Unmargined,VM CSA Eng,Margined,cpty58,30670000,250000,USD
12365_A_Unmargined,VM CSA Eng,Margined,cpty59,-370000,100000,USD
1251_A_Unmargined,VM CSA Eng,Margined,cpty60,-100955,0,USD
1256_A_CSA,VM CSA Eng,Margined,cpty61,-204000,500000,EUR
126_A_Unmargined,VM CSA Eng,Margined,cpty62,-1391000,500000,EUR
12695_A_VM CSA Eng,VM CSA Eng,Margined,cpty63,-2111290,500000,EUR
1282_A_CSA,VM CSA NY,Margined,cpty64,-271227,250000,USD
1289_B_VM CSA NY,VM CSA NY,Margined,cpty65,-10820000,50000,USD
13001_A_Unmargined,CSA,Margined,cpty66,31437642,100000,USD
1304_A_Unmargined,CSA,Margined,cpty67,-14150000,0,USD
13049_A_CSA_INT_FX,CSA,Margined,cpty68,8380000,250000,USD
13051_A_Unmargined,VM CSA Eng,Margined,cpty69,-19600000,400000,USD
13114_A_Unmargined,VM CSA Eng,Margined,cpty70,-1078583,250000,EUR
13152_C_CSM,VM CSA Eng,Margined,cpty71,290000,250000,USD
1317_A_Unmargined,VM CSA NY,Margined,cpty72,410000,250000,USD
1326_A_Unmargined,VM CSA Eng,Margined,cpty73,180000,0,USD
1328_D_VM CSA Eng,CSA,Margined,cpty74,290000,250000,USD
13363_A_Unmargined,VM CSA NY,Margined,cpty75,-30000,50000,USD
13409_A_Unmargined,CSA,Margined,cpty76,130578,100000,USD
1343_A_Unmargined,VM CSA Eng,Margined,cpty77,-3600000,100000,USD
13434_A_CSA_INT_FX,VM CSA Eng,Margined,cpty78,652850,250000,GBP
13466_A_CSA,VM CSA Eng,Margined,cpty79,41,25000,USD
13589_A_CSA,VM CSA Eng,Margined,cpty13,-2402488,100000,GBP
13632_A_Unmargined,VM CSA Eng,Margined,cpty14,-1906322,100000,GBP
1371_A_Unmargined,VM CSA Eng,Margined,cpty15,-2154405,100000,GBP
1382_N_CSA,VM CSA Eng,Margined,cpty16,-4452437,250000,GBP
1382_A_Unmargined,VM CSA Eng,Margined,cpty17,-2219690,250000,GBP
1382_U_VM CSA Eng,VM CSA NY,Margined,cpty18,730000,250000,USD
1382_L_CSA,VM CSA NY,Margined,cpty19,260000,250000,USD
1382_M_VM CSA Eng_2,VM CSA NY,Margined,cpty20,960000,250000,USD
1382_F_VM CSA Eng_2,CSA,Margined,cpty21,2060000,500000,USD
1382_K_VM CSA Eng_2,VM CSA Eng,Margined,cpty22,363312,10000,EUR
1382_I_VM CSA Eng_2,VM CSA Eng,Margined,cpty23,590382,10000,EUR
14075_D_CSM,VM CSA NY,Margined,cpty24,780000,250000,USD
14081_A_Unmargined,VM CSA NY,Margined,cpty25,261209,250000,USD
14243_A_VM CSA Eng,VM CSA NY,Margined,cpty26,280000,250000,USD
14412_C_CSM,VM CSA NY,Margined,cpty27,13000,250000,USD
14475_B_VM CSA Eng,VM CSA NY,Margined,cpty28,270000,250000,USD
1466_C_IM CSA NY,VM CSA NY,Margined,cpty29,515000,250000,USD
1466_D_VM CSA Eng,VM CSA NY,Margined,cpty30,-2000,50000,USD
1466_B_VM CSA Eng,VM CSA NY,Margined,cpty31,-450000,250000,USD
147_D_VM CSA NY,VM CSA Eng,Margined,cpty32,-431433,250000,EUR
147_C_IM CSA NY,VM CSA NY,Margined,cpty33,-261000,250000,USD
14726_C_VM CSA Eng,VM CSA Eng,Margined,cpty34,-140000,250000,USD
148_A_VM CSA Eng,VM CSA NY,Margined,cpty35,110000,50000,USD
1494_A_Unmargined,VM CSA NY_2,Margined,cpty36,-90000,50000,USD
14964_A_Unmargined,VM CSA Eng,Margined,cpty37,-1660000,250000,USD
15135_A_Unmargined,VM CSA NY,Margined,cpty38,280000,250000,USD
1522_C_VM CSA NY,VM CSA Eng,Margined,cpty39,60000,50000,USD
1523_B_VM CSA NY,VM CSA NY,Margined,cpty40,3530000,100000,USD
1528_B_VM CSA NY,VM CSA Eng,Margined,cpty41,5170000,250000,USD
1529_B_CSA,VM CSA NY,Margined,cpty42,2597161,250000,USD
1529_C_CSA,CSA,Margined,cpty43,4,150000,USD
1530_C_VM CSA NY,CSA,Margined,cpty44,10769010,1000000,USD
1534_B_VM CSA NY,VM CSA NY,Margined,cpty45,1017749,250000,USD
1538_A_CSA,VM CSA Eng,Margined,cpty46,20000,50000,USD
1546_B_VM CSA NY,VM CSA Eng,Margined,cpty47,-1280000,250000,USD
1577_A_Unmargined,VM CSA Eng,Margined,cpty48,-7040000,250000,USD
15826_A_VM CSA NY,CSA,Margined,cpty49,17403026,100000,USD
15848_A_VM CSA Eng,VM CSA Eng,Margined,cpty50,56768,250000,EUR
15861_A_VM CSA Eng,VM CSA NY,Margined,cpty51,60000,50000,USD
15865_A_VM CSA Eng,VM CSA NY,Margined,cpty52,-30000,100000,USD
15879_A_Unmargined,VM CSA NY,Margined,cpty53,-30000,25000,USD
159_B_IM CSD Eng,VM CSA NY,Margined,cpty54,-150000,250000,USD
159_C_VM CSA Eng,CSA,Margined,cpty55,20090000,1000000,USD
15900_A_CSA_INT_FX,VM CSA Eng,Margined,cpty56,300000,250000,USD
15936_A_CSA,VM CSA Eng,Margined,cpty57,1670000,250000,USD
15994_A_Unmargined,VM CSA Eng,Margined,cpty58,-40000,50000,USD
15998_A_CSA_INT_FX,VM CSA NY,Margined,cpty59,-260000,250000,USD
16_D_VM CSA Eng,VM CSA Eng,Margined,cpty60,-11354,0,EUR
1600_B_VM CSA Eng,CSA,Margined,cpty61,570000,250000,USD
16003_A_CSM,VM CSA Eng,Margined,cpty62,230000,250000,USD
1606_A_VM CSA Eng,VM CSA Eng,Margined,cpty63,2880000,250000,USD
16271_A_CSA_INT_FX,VM CSA Eng,Margined,cpty64,1150000,250000,USD
16294_A_CSA_INT_FX,VM CSA Eng,Margined,cpty65,980000,400000,USD
16323_A_Unmargined,VM CSA Eng,Margined,cpty66,-116178520,0,USD
